name,position,school,min_ADP,max_ADP,ADP_diff
A.J. Brown,WR,Ole Miss,8,27.5,-19.5
Ahmmon Richards,WR,Miami,19,28,-9
Andre Dillard,OT,Washington State,32.5,17.6,14.899999999999999
Ben Bredeson,G,Michigan,30,30,0
Brian Burns,DE,Florida State,35,15.9,19.1
Byron Murphy,CB,Washington,13,22.8,-9.8
Caleb Kelly,LB,Oklahoma,24,24,0
Chris Lindstrom,G,Boston College,17.5,28.6,-11.100000000000001
Christian Wilkins,DT,Clemson,19.5,19,0.5
Clelin Ferrell,DE,Clemson,10.8,19,-8.2
Cody Ford,OT,Oklahoma,23.5,20.8,2.6999999999999993
D.K. Metcalf,WR,Ole Miss,25,16,9
Dalton Risner,OT,Kansas State,24.5,29.8,-5.300000000000001
Daniel Jones,QB,Duke,25,20.3,4.699999999999999
Deandre Baker,CB,Georgia,11.9,27.3,-15.4
Deondre Francois,QB,Florida State,4,4,0
Derrick Brown,DT,Auburn,28,23.2,4.800000000000001
Devin Bush,LB,Michigan,24.1,15.5,8.600000000000001
Devin White,LB,LSU,14.9,6.9,8
Dexter Lawrence,DT,Clemson,7.1,27.8,-20.700000000000003
Drew Lock,QB,Missouri,14.3,12.4,1.9000000000000004
Dwayne Haskins,QB,Ohio State,19.1,9.4,9.700000000000001
Ed Oliver,DT,Houston,2.9,9.2,-6.299999999999999
Garrett Bradbury,C,NC State,74,25.8,48.2
Greedy Williams,CB,LSU,10,20.4,-10.399999999999999
Isaiah Simmons,S,Clemson,93,26,67
Jake Bentley,QB,South Carolina,29,23.5,5.5
Jake Browning,QB,Washington,21,21,0
Jawaan Taylor,OT,Florida,56,9.1,46.9
Jeffery Simmons,DT,Mississippi State,18.5,29.4,-10.899999999999999
Jerry Tillery,DT,Notre Dame,17.3,31.3,-14
Joe Dineen,LB,Kansas,62,24,38
Jonah Williams,OT,Alabama,8.4,13.3,-4.9
Josh Allen,LB,Kentucky,24.1,3.7,20.400000000000002
Josh Jacobs,RB,Alabama,72.5,27.3,45.2
Justin Herbert,QB,Oregon,12.2,7,5.199999999999999
Khaleke Hudson,LB,Michigan,19,19,0
Kiy Hester,CB,Rutgers,26,26,0
Kyler Murray,QB,Oklahoma,26,1.9,24.1
Lamar Jackson,CB,Nebraska,31,29,2
Malik Fountain,LB,Central Michigan,203,20,183
Marquise Brown,WR,Oklahoma,58,24.9,33.1
Montez Sweat,DE,Mississippi State,29.3,10.4,18.9
N'Keal Harry,WR,Arizona State,14.6,28.5,-13.9
Nick Bosa,DE,Ohio State,2,2.1,-0.10000000000000009
Noah Fant,TE,Iowa,21.7,23,-1.3000000000000007
Quinnen Williams,DT,Alabama,28.8,3.7,25.1
Rashan Gary,DE,Michigan,9.1,11.3,-2.200000000000001
Sam Beal,CB,Western Michigan,31.9,31.9,0
Shea Patterson,QB,Michigan,10.6,32,-21.4
Steven Montez,QB,Colorado,20,20,0
T.J. Hockenson,TE,Iowa,83,12.6,70.4
T.J. Rahming,WR,Duke,32,32,0
Trey Adams,OT,Washington,9.5,9,0.5
Tyler Petite,TE,USC,32,32,0
